id	emotion
34170_0007_A_43	0.000922344159334898,0.023078737780451775,0.005021153949201107,0.018034765496850014,0.03002851828932762,0.00549987843260169
34170_0007_A_44	0.0027672485448420048,0.013775777071714401,0.04224059730768204,0.07245740294456482,0.062254659831523895,1.1147751808166504
34170_0007_A_45	0.005604781210422516,0.1465691775083542,0.07724277675151825,0.021491896361112595,0.02042294293642044,0.041367702186107635
34170_0007_A_46	0.012726090848445892,1.2055201530456543,0.020684629678726196,0.015344193205237389,0.005960383452475071,0.07544178515672684
34170_0007_A_47	0.001957494067028165,0.0221685990691185,0.011156880296766758,0.03971659392118454,0.04531697928905487,0.018755391240119934
34170_0008_A_49	0.006922369822859764,0.042329397052526474,0.004965158179402351,0.013115004636347294,0.05358818173408508,0.018083270639181137
34170_0008_A_50	0.004718772601336241,0.009363126941025257,0.005995776504278183,0.011283316649496555,0.05643824487924576,0.03422502800822258
34170_0008_A_51	0.14268450438976288,0.20817023515701294,0.01174601074308157,0.020664116367697716,0.04736170917749405,0.09811918437480927
34170_0009_A_54	0.0022905326914042234,0.007902199402451515,0.0049248915165662766,0.010713258758187294,0.06267310678958893,0.012841647490859032
34170_0009_A_56	0.009809465147554874,0.02340846136212349,0.0022560174111276865,0.077919140458107,0.07871950417757034,0.048907410353422165
34170_0009_A_58	0.014757655560970306,0.01130962185561657,0.008713677525520325,0.02552305907011032,0.1835860162973404,0.0269077830016613
34170_0009_A_59	0.0033632281702011824,0.0302133746445179,0.02407759428024292,0.009472401812672615,0.005223092623054981,0.017891600728034973
34170_0009_A_60	0.008720225654542446,0.06491103768348694,0.014390300028026104,0.011694028042256832,0.02755165845155716,0.035342223942279816
34170_0009_A_61	0.013136178255081177,0.11231552064418793,0.02646811679005623,0.05877673625946045,0.05236343294382095,0.19653549790382385
34170_0009_A_62	0.008992292918264866,0.07444562017917633,0.01476258598268032,0.004782078322023153,0.02592584118247032,0.020251881331205368
34170_0009_A_63	0.011995243839919567,0.11451691389083862,0.021548980847001076,0.00884859450161457,0.03569141402840614,0.023504845798015594
34170_0009_A_64	0.009774760343134403,0.029705144464969635,0.032233573496341705,0.039323173463344574,0.0435764454305172,0.25886404514312744
34170_0010_A_66	0.0024271653965115547,0.025219643488526344,0.004451015032827854,0.0059611801989376545,0.009716933593153954,0.005611096043139696
34170_0010_A_67	0.0018692819867283106,0.01422454509884119,0.006238869857043028,0.007231882773339748,0.02756238728761673,0.01047282200306654
34170_0011_A_71	0.004460444673895836,0.0072622718289494514,0.005048671737313271,0.007644031662493944,0.04438713565468788,0.006636107340455055
34170_0011_A_74	0.0033540823496878147,0.015333743765950203,0.014104217290878296,0.011087741702795029,0.0488501638174057,0.035791829228401184
34170_0011_A_76	0.014242309145629406,0.008382734842598438,0.012143384665250778,0.20347917079925537,0.33584064245224,0.04341837763786316
34170_0011_A_78	0.04015672206878662,0.05169988051056862,0.007270214147865772,0.013797581195831299,0.01787968911230564,0.03507078438997269
34170_0011_A_80	0.012189723551273346,0.03337549418210983,0.0068406881764531136,0.009226035326719284,0.024663567543029785,0.03474600613117218
34170_0011_A_81	0.00879991240799427,0.14599359035491943,0.06080378592014313,0.03516806289553642,0.0428597591817379,0.0350155383348465
34170_0012_A_83	0.0033559617586433887,0.005991903133690357,0.0022296090610325336,0.00652266014367342,0.012455091811716557,0.01308552548289299
34170_0012_A_84	0.0017478052759543061,0.031352825462818146,0.004369928501546383,0.013828527182340622,0.015904605388641357,0.005777965299785137
34170_0012_A_85	0.0014486561994999647,0.0272415429353714,0.005672466941177845,0.010840022936463356,0.013447338715195656,0.010380350984632969
34170_0012_A_86	0.0025506261736154556,0.019730806350708008,0.003435006830841303,0.009898427873849869,0.011288721114397049,0.0069837989285588264
34170_0012_A_87	0.0021995026618242264,0.01914261095225811,0.003550904802978039,0.010722515173256397,0.01501641795039177,0.007822860032320023
34170_0012_A_88	0.0018159393221139908,0.01606746017932892,0.0037134322337806225,0.008515765890479088,0.01714126579463482,0.011262614279985428
34170_0012_A_89	0.0021967454813420773,0.018086666241288185,0.0036527893971651793,0.01047573797404766,0.018517503514885902,0.008174384012818336
34170_0012_A_90	0.00547467265278101,0.19997373223304749,0.00960808526724577,0.24728962779045105,0.015483680181205273,0.01637077145278454
34170_0012_A_92	0.008965234272181988,0.08031878620386124,0.02850031852722168,0.19453735649585724,0.05598653852939606,0.01548049971461296
34170_0012_A_94	0.004116717725992203,0.13195812702178955,0.010704882442951202,0.16103005409240723,0.028978843241930008,0.04796101152896881
34170_0012_A_96	0.00861437153071165,0.12250444293022156,0.020321164280176163,0.04883753880858421,0.05226665735244751,0.030470145866274834
34170_0012_A_98	0.004608537536114454,0.10242524743080139,0.025577694177627563,0.059704557061195374,0.01646067015826702,0.018630316480994225
34170_0012_A_99	0.006569325923919678,0.047749437391757965,0.010775738395750523,0.03633614256978035,0.10699953138828278,0.09298156946897507
34170_0012_A_100	0.007841179147362709,0.028781414031982422,0.08143484592437744,0.10620898008346558,0.3024149537086487,0.028668975457549095
34170_0012_A_101	0.07785975933074951,0.011593169532716274,0.009702128358185291,0.01932738721370697,0.1280452311038971,0.4538148045539856
34170_0013_A_103	0.002163118915632367,0.013991355895996094,0.00846932828426361,0.009808424860239029,0.04482885077595711,0.023277290165424347
34170_0013_A_104	0.0017215692205354571,0.01739400066435337,0.004476625006645918,0.010247721336781979,0.038842927664518356,0.018387898802757263
34170_0013_A_105	0.002213979372754693,0.015094676986336708,0.00797122810035944,0.007825152017176151,0.04325369745492935,0.025856591761112213
34170_0013_A_106	0.007777859922498465,0.016093382611870766,0.029264099895954132,0.02850262075662613,0.08144734799861908,0.061552874743938446
34170_0013_A_107	0.008156158030033112,0.05183430016040802,0.010923311114311218,0.09500786662101746,0.12457957863807678,0.1668747067451477
34170_0013_A_108	0.003365433309227228,0.07297089695930481,0.0855468213558197,0.1431901901960373,0.06889702379703522,0.05818472057580948
34170_0013_A_109	0.00517289899289608,0.03650134429335594,0.012067532166838646,0.017817743122577667,0.030591437593102455,0.06794369965791702
34170_0013_A_110	0.024993421509861946,0.01004910096526146,0.009989838115870953,0.0800817459821701,0.22199410200119019,0.06727607548236847
34170_0014_A_112	0.03129376471042633,0.09670769423246384,0.023188088089227676,0.04876632243394852,0.4235028028488159,0.050481442362070084
34170_0014_A_113	0.029149770736694336,0.025250285863876343,0.009311750531196594,0.05465223267674446,0.1778605431318283,0.02292919158935547
34170_0015_A_115	0.019592691212892532,0.050492823123931885,0.03875178471207619,0.024020034819841385,0.06162731721997261,0.05211417376995087
34170_0015_A_116	0.02779165655374527,0.08915919810533524,0.01668630540370941,0.022398218512535095,0.06221409887075424,0.12588615715503693
34170_0015_A_117	0.12952834367752075,1.8405256271362305,0.01105881854891777,0.011381944641470909,0.03925642371177673,0.16230183839797974
34170_0015_A_118	0.048738397657871246,0.1344110667705536,0.0026908961590379477,0.08190542459487915,0.008598584681749344,0.23588111996650696
34170_0015_A_119	0.040128618478775024,0.4869842529296875,0.007663026452064514,0.04302554950118065,0.016081206500530243,0.14653149247169495
34170_0015_A_120	0.00858137384057045,0.021725066006183624,0.010091719217598438,0.019570261240005493,0.06304967403411865,0.08754942566156387
34170_0015_A_121	0.015636883676052094,0.7728885412216187,0.04696151241660118,0.015583235770463943,0.02595146745443344,0.1352035254240036
34170_0016_A_123	0.004718058276921511,0.0042620692402124405,0.0016658301465213299,0.010280400514602661,0.010890726931393147,0.010724247433245182
34170_0016_A_124	0.11760687828063965,0.37640249729156494,0.0925786942243576,0.018414879217743874,0.01159511785954237,0.03911835327744484
34170_0016_A_125	0.011900452896952629,0.2644162178039551,0.014924082905054092,0.02789216861128807,0.028944596648216248,0.018097609281539917
34170_0016_A_126	0.005664888769388199,0.030223730951547623,0.0071575515903532505,0.048390984535217285,0.07524126768112183,0.01735037751495838
34170_0016_A_127	0.006100794766098261,0.021410975605249405,0.004869116470217705,0.04048125073313713,0.05585926026105881,0.01944848522543907
34170_0016_A_128	0.05659196525812149,0.8767198920249939,0.2911139726638794,0.025432102382183075,0.029258213937282562,0.03492364287376404
34170_0016_A_129	0.024023260921239853,0.06827066093683243,0.013180356472730637,0.01990855485200882,0.02958548814058304,0.2416919469833374
34170_0016_A_130	0.03724703937768936,0.30769044160842896,0.01921951211988926,0.08383116126060486,0.03676776960492134,0.08151750266551971
34170_0016_A_131	0.007960787042975426,0.09153300523757935,0.059645190834999084,0.26010894775390625,0.01695776917040348,0.1051725223660469
34170_0016_A_132	0.05531167984008789,0.03668755292892456,0.007195143960416317,0.0847625657916069,0.06701929122209549,0.18963268399238586
34170_0016_A_133	0.019761525094509125,0.034409668296575546,0.009082299657166004,0.03003138303756714,0.12522880733013153,0.09465253353118896
34170_0016_A_134	0.03474215418100357,0.02590389922261238,0.007963350974023342,0.04086606204509735,0.1331413984298706,0.08724793046712875
34170_0016_A_135	0.02055489458143711,0.09895318746566772,0.020763719454407692,0.1426108032464981,0.029005100950598717,0.1142972856760025
34170_0016_A_136	0.02937266230583191,0.7613756060600281,0.005168997682631016,0.015674995258450508,0.010801424272358418,0.12760327756404877
34170_0017_A_139	0.006117289885878563,0.013612458482384682,0.004776517394930124,0.05241718888282776,0.02012014575302601,0.08400412648916245
34170_0017_A_140	0.009322225116193295,0.08909272402524948,0.010438347235321999,0.014184845611453056,0.026378672569990158,0.017155835404992104
34170_0017_A_141	0.008161621168255806,0.07593066990375519,0.060439590364694595,0.04395412653684616,0.030620962381362915,0.947537362575531
34170_0017_A_142	0.0037758764810860157,0.019922874867916107,0.005129195284098387,0.03155788034200668,0.020071307197213173,0.08435659855604172
34170_0017_A_143	0.0058981734327971935,0.09679238498210907,0.026305004954338074,0.03336887061595917,0.07207455486059189,0.016787134110927582
34170_0017_A_144	0.018918722867965698,0.08134213835000992,0.03332214057445526,0.03682315722107887,0.09569985419511795,0.2373403012752533
34170_0017_A_145	0.0069405920803546906,0.018379785120487213,0.013210263103246689,0.020395290106534958,0.010256013832986355,0.04450855776667595
34170_0017_A_146	0.0030643532518297434,0.014585388824343681,0.009716545231640339,0.00643201544880867,0.021668944507837296,0.0749472826719284
34170_0017_A_147	0.0676896870136261,0.1067935973405838,0.05804698169231415,0.020425930619239807,0.03737010806798935,0.26337194442749023
34170_0017_A_148	0.019688988104462624,0.025166943669319153,0.010827221907675266,0.11162281036376953,0.02300427295267582,0.31153663992881775
34170_0017_A_149	0.08533622324466705,0.20064260065555573,0.005327229388058186,0.0176276583224535,0.008740436285734177,0.02219868078827858
34170_0017_A_150	0.046515464782714844,0.11165595799684525,0.0031946473754942417,0.013085182756185532,0.008416645228862762,0.016309624537825584
34170_0017_A_151	0.012550367042422295,0.060849182307720184,0.031626373529434204,0.05107319355010986,0.03666188567876816,0.45253366231918335
34170_0017_A_152	0.15731167793273926,0.6803392171859741,0.05411512404680252,0.14218297600746155,0.02588830702006817,0.15017575025558472
34170_0017_A_153	0.061277590692043304,0.03404654935002327,0.007809789851307869,0.018244434148073196,0.01673373579978943,0.06291493773460388
34170_0017_A_154	0.021349472925066948,0.040885016322135925,0.007091669365763664,0.005993049591779709,0.008272241801023483,0.07752139866352081
34170_0017_A_155	0.02114715427160263,0.05224648863077164,0.10026716440916061,0.06464836746454239,0.017472349107265472,0.03156181424856186
34170_0017_A_156	0.17008717358112335,0.6552917957305908,0.019315451383590698,0.008688016794621944,0.010377288796007633,0.17144839465618134
34170_0017_A_157	0.36880549788475037,0.11577856540679932,0.005793957971036434,0.19681313633918762,0.01568477600812912,0.12168455868959427
34170_0017_A_158	0.0036881351843476295,0.019108731299638748,0.013128310441970825,0.024800550192594528,0.027159232646226883,0.25232475996017456
34170_0017_A_159	0.0016779680736362934,0.014661578461527824,0.006536150351166725,0.01063474826514721,0.05410482734441757,0.02293819934129715
34170_0017_A_160	0.0014413869939744473,0.014777850359678268,0.005671776365488768,0.008141277357935905,0.04177599027752876,0.019274087622761726
34170_0017_A_161	0.0015857999678701162,0.014490559697151184,0.007418720051646233,0.007312166504561901,0.048133403062820435,0.021669693291187286
34170_0017_A_162	0.06179944425821304,0.02767230197787285,0.0036558890715241432,0.025925254449248314,0.07116500288248062,0.1576426476240158
34170_0017_A_163	0.007309856824576855,0.05836939439177513,0.27645739912986755,0.43063366413116455,0.07122915983200073,0.36225664615631104
34170_0017_A_164	0.006401361431926489,0.11264873296022415,0.02217944897711277,0.0554424524307251,0.01718948595225811,0.04847114905714989
34170_0017_A_165	0.005061562638729811,0.05791494995355606,0.07784701138734818,0.3746163547039032,0.03408706933259964,0.6536170244216919
34170_0017_A_166	0.020121309906244278,0.1429882049560547,0.11115960776805878,0.20666095614433289,0.03331849351525307,0.1204567700624466
34170_0017_A_167	0.21964091062545776,2.123277425765991,0.007746355142444372,0.014920125715434551,0.011995978653430939,0.2729758024215698
34170_0017_A_168	0.04926269128918648,0.03079167753458023,0.03532515466213226,0.020503874868154526,0.07043115794658661,0.19839316606521606
34170_0017_A_169	0.09243430197238922,0.045319125056266785,0.027125004678964615,0.09953969717025757,0.037299465388059616,0.051100876182317734
34170_0017_A_173	0.05366538465023041,0.07649451494216919,0.024652935564517975,0.016530698165297508,0.012928912416100502,0.19424313306808472
34170_0017_A_170	0.006869669072329998,0.020503077656030655,0.013179643079638481,0.04271664470434189,0.02418920025229454,0.932057797908783
34170_0017_A_172	0.06938613206148148,0.09046654403209686,0.028424564749002457,0.02429869771003723,0.010862811468541622,0.1468510627746582
34170_0017_A_175	0.0017647410277277231,0.019563039764761925,0.006995833478868008,0.011869862675666809,0.026468994095921516,0.005225698929280043
34170_0017_A_176	0.0015758492518216372,0.012627951800823212,0.008355824276804924,0.010201823897659779,0.021507347002625465,0.00719180703163147
34170_0017_A_178	0.07489724457263947,0.1997436136007309,0.014470303431153297,0.03077661246061325,0.018789131194353104,0.07896073907613754
34170_0017_A_179	0.012687566690146923,0.44320178031921387,0.1694631576538086,0.10483528673648834,0.023015793412923813,0.04557671397924423
34170_0017_A_181	0.03315865248441696,0.16324402391910553,0.016042476519942284,0.01696648634970188,0.007169914897531271,0.03387589380145073
34170_0017_A_182	0.40068796277046204,0.6032848954200745,0.13027602434158325,0.10940688103437424,0.11915324628353119,0.11752498149871826
34170_0017_A_184	0.031968437135219574,0.05161740258336067,0.00947842188179493,0.24798163771629333,0.010728778317570686,0.0935988798737526
34170_0017_A_185	0.029926136136054993,0.03619249165058136,0.004155066329985857,0.1929435431957245,0.05799266695976257,0.026613309979438782
34170_0017_A_187	0.03313923999667168,0.027112074196338654,0.003964602015912533,0.2406710982322693,0.05234069377183914,0.047125037759542465
34170_0017_A_188	0.017559051513671875,0.03426926210522652,0.07145179808139801,0.7951894998550415,0.040467310696840286,0.205950528383255
34170_0017_A_189	0.01845843344926834,0.025793949142098427,0.019250769168138504,0.15941502153873444,0.23725679516792297,0.04974798858165741
34170_0017_A_191	1.8804700374603271,0.178580641746521,0.010768510401248932,0.020859360694885254,0.03913847729563713,0.07043739408254623
34170_0017_A_192	1.431858777999878,0.12997932732105255,0.010569170117378235,0.00925882812589407,0.04905872792005539,0.08759801089763641
34170_0017_A_193	0.037723518908023834,0.4537665545940399,0.029897283762693405,0.020569754764437675,0.013543855398893356,0.061666883528232574
34170_0017_A_194	0.023306693881750107,0.24272796511650085,0.040554437786340714,0.1862270087003708,0.029825612902641296,0.09031862020492554
34170_0017_A_195	0.8878499865531921,0.1584715098142624,0.011228726245462894,0.0415484681725502,0.04514232277870178,0.06077781692147255
34170_0017_A_196	1.208074927330017,0.18053066730499268,0.015666557475924492,0.01421453058719635,0.052506156265735626,0.13161949813365936
34170_0017_A_198	0.039202481508255005,0.03208233416080475,0.005790297873318195,0.03458423912525177,0.020952749997377396,0.030195381492376328
34170_0017_A_199	0.01223420538008213,0.027016310021281242,0.004512211307883263,0.009681289084255695,0.009090865962207317,0.024960845708847046
34170_0017_A_200	0.01205484475940466,0.056605976074934006,0.005067556165158749,0.012259993702173233,0.06386475265026093,0.10329955816268921
34170_0019_A_207	0.0023983509745448828,0.004378721583634615,0.008510981686413288,0.015706418082118034,0.0692002922296524,0.019422952085733414
34170_0019_A_208	0.011740093119442463,0.015187565237283707,0.010427955538034439,0.0364038310945034,0.1907520294189453,0.020550359040498734
34170_0019_A_209	0.020549815148115158,0.2258015275001526,0.005603615194559097,0.013629049062728882,0.029241707175970078,0.04623774066567421
34170_0019_A_210	0.0010210719192400575,0.007338170427829027,0.011697806417942047,0.010717706754803658,0.012244516052305698,0.012015114538371563
34170_0019_A_217	0.002819588640704751,0.030265245586633682,0.0050001321360468864,0.006427117623388767,0.02049117535352707,0.011029738932847977
34170_0019_A_219	0.02380802109837532,0.6812633275985718,0.011480859480798244,0.03902490437030792,0.025391146540641785,0.021387724205851555
34170_0019_A_225	0.0025382309686392546,0.01533976849168539,0.009523714892566204,0.013903328217566013,0.011056076735258102,0.042513661086559296
34170_0019_A_226	0.036277446895837784,0.1852300614118576,0.003497735597193241,0.007223807275295258,0.007218373008072376,0.056607164442539215
34170_0019_A_231	0.003962342161685228,0.0105802146717906,0.02393796108663082,0.0780552551150322,0.06318400055170059,0.02846013754606247
34170_0020_A_238	0.02472107857465744,0.19600749015808105,0.005588239524513483,0.010012352839112282,0.009461304172873497,0.00980404857546091
34170_0020_A_239	0.017239293083548546,0.22698131203651428,0.004630516283214092,0.00907937716692686,0.00891077984124422,0.012810418382287025
34170_0020_A_240	0.0077278343960642815,0.045586857944726944,0.08417100459337234,0.026651840656995773,0.031009867787361145,0.010730348527431488
34170_0020_A_241	0.004551186226308346,0.050402432680130005,0.025638990104198456,0.02664978615939617,0.03839542716741562,0.0302395261824131
34170_0020_A_242	0.004006696864962578,0.0035489043220877647,0.02964809164404869,0.038091763854026794,0.09712359309196472,0.07922876626253128
34170_0020_A_243	0.006725240498781204,0.022751538082957268,0.013990919105708599,0.9216132164001465,0.02813534066081047,0.0671200156211853
34170_0020_A_246	0.23469576239585876,0.07726356387138367,0.01129735168069601,0.009529274888336658,0.021896712481975555,0.05529167130589485
34170_0020_A_247	0.08562307059764862,0.5096089839935303,0.014130829833447933,0.00929708406329155,0.01766526699066162,0.02705710381269455
34170_0020_A_251	0.004307114984840155,0.0035573220811784267,0.0064881788566708565,0.00745464488863945,0.028306301683187485,0.008863184601068497
34170_0020_A_252	0.0035800798796117306,0.0015256841434165835,0.014628084376454353,0.004871233832091093,0.04147312417626381,0.022194132208824158
34170_0021_A_255	0.002119913697242737,0.011671737767755985,0.02473684400320053,0.018033046275377274,0.17907121777534485,0.07191286981105804
34170_0021_A_257	0.0022482385393232107,0.017086075618863106,0.00454102223739028,0.01747792586684227,0.05155254155397415,0.006483769044280052
34170_0021_A_259	0.003421336878091097,0.034252628684043884,0.5106375217437744,0.019154278561472893,0.3055240511894226,0.03815729171037674
34170_0021_A_261	0.4005949795246124,0.5943149328231812,0.01886041834950447,0.012624641880393028,0.035416122525930405,0.17512816190719604
34170_0021_A_262	0.001927494420669973,0.004233911167830229,0.015669196844100952,0.026569213718175888,0.12180151045322418,0.08247293531894684
34170_0022_A_265	0.012851114384829998,0.016537614166736603,0.0036362996324896812,0.004351306241005659,0.010450784116983414,0.025629453361034393
34170_0022_A_266	0.012452412396669388,0.008713515475392342,0.012186273001134396,0.004989140667021275,0.15552641451358795,0.03854480758309364
34170_0022_A_267	0.006858037784695625,0.004999139811843634,0.008569907397031784,0.00600050576031208,0.12927624583244324,0.02196723408997059
34170_0022_A_268	0.002881981199607253,0.009623272344470024,0.004991753492504358,0.009716554544866085,0.033644430339336395,0.006633755285292864
34170_0022_A_269	0.0020832796581089497,0.01575067639350891,0.005582593381404877,0.03324868530035019,0.04143822565674782,0.02328721433877945
34170_0022_A_270	0.008029881864786148,0.013279233127832413,0.005850980989634991,0.036313727498054504,0.0378517284989357,0.06203751638531685
34170_0022_A_271	0.16415351629257202,0.42762672901153564,0.008839446119964123,0.046382080763578415,0.02103468030691147,0.05660475790500641
34170_0022_A_272	0.015038542449474335,1.1209790706634521,0.009030189365148544,0.025572678074240685,0.007416930980980396,0.03741886466741562
34170_0022_A_273	0.0011025668354704976,0.00808857474476099,0.008319199085235596,0.02801426500082016,0.10624252259731293,0.021182438358664513
34170_0022_A_276	0.001078327069990337,0.004778370726853609,0.01853184774518013,0.025220155715942383,0.12569640576839447,0.04848092049360275
34170_0022_A_279	0.004162141587585211,0.015517864376306534,0.010209651663899422,0.04433176666498184,0.2639702260494232,0.006980743259191513
34170_0022_A_280	0.006859753746539354,0.016296209767460823,0.006335780024528503,0.027008231729269028,0.05503961443901062,0.004772678483277559
34170_0022_A_281	0.010155407711863518,0.006882610730826855,0.005133176688104868,0.0259849913418293,0.04450308158993721,0.007068295031785965
34170_0022_A_282	0.002641336526721716,0.003914204426109791,0.012216867879033089,0.008631279692053795,0.3321130871772766,0.025555333122611046
34170_0022_A_283	0.0037020163144916296,0.004187743179500103,0.009025128558278084,0.022120026871562004,0.19175827503204346,0.008579852059483528
34170_0022_A_284	0.03777347877621651,0.16566713154315948,0.010089102201163769,0.014546924270689487,0.01365029625594616,0.22046896815299988
34170_0022_A_285	0.0070578353479504585,0.012911262921988964,0.017684143036603928,0.015757862478494644,0.1549956202507019,0.00722939008846879
34170_0022_A_286	0.03777347877621651,0.16566713154315948,0.010089102201163769,0.014546924270689487,0.01365029625594616,0.22046896815299988
34170_0022_A_287	0.005808256566524506,0.02151677757501602,0.01974596455693245,0.027774829417467117,0.40320172905921936,0.026109706610441208
34170_0022_A_288	0.05725400894880295,0.400610089302063,0.046915486454963684,0.021833451464772224,0.06869515031576157,0.02542361430823803
34170_0022_A_291	0.0074374177493155,0.006005948409438133,0.005402904003858566,0.016067132353782654,0.07670178264379501,0.02322939783334732
34170_0022_A_292	0.01604684442281723,0.0062921857461333275,0.0035558766685426235,0.012804824858903885,0.04352636635303497,0.02192002534866333
34170_0022_A_293	0.01101410947740078,0.005952890962362289,0.005361346527934074,0.010191778652369976,0.07048092037439346,0.02123226970434189
34170_0022_A_302	0.005268964450806379,0.013919360004365444,0.009017311036586761,0.013260183855891228,0.33028367161750793,0.023378511890769005
34170_0022_A_295	0.007127491757273674,0.011142013594508171,0.004248827695846558,0.04635482281446457,0.04175851121544838,0.08194960653781891
34170_0022_A_298	0.007887999527156353,0.012813910841941833,0.011382907629013062,0.029165038838982582,0.3707377314567566,0.010451036505401134
34170_0022_A_299	0.003884927835315466,0.05313219130039215,0.006610691547393799,0.011805273592472076,0.08884084969758987,0.010172104462981224
34170_0022_A_300	0.008617296814918518,0.023057226091623306,0.011255921795964241,0.0073944884352386,0.46716731786727905,0.01195041835308075
34170_0022_A_301	0.009249247610569,0.4200279414653778,0.009927542880177498,0.13325358927249908,0.021946322172880173,0.08253426104784012
34170_0022_A_303	0.048579342663288116,0.3460901379585266,0.040887944400310516,0.02200203202664852,0.06953757256269455,0.024912038818001747
34170_0022_A_304	0.004372711293399334,0.09650732576847076,0.020761506631970406,0.02268713340163231,0.07622777670621872,0.012601029127836227
34170_0022_A_305	0.0035327402874827385,0.041161831468343735,0.007780306041240692,0.06990926712751389,0.06826287508010864,0.02224072627723217
34170_0022_A_308	0.002415389521047473,0.04229583963751793,0.005196567624807358,0.013868509791791439,0.039533816277980804,0.010903645306825638
34170_0022_A_309	0.0020406038966029882,0.010860813781619072,0.013802231289446354,0.0837225615978241,0.13522064685821533,0.10644156485795975
34170_0022_A_310	0.003426620503887534,0.04567340388894081,0.013153590261936188,0.14970314502716064,0.058849822729825974,0.01669689454138279
34170_0022_A_311	0.011871876195073128,0.0489589124917984,0.0418274849653244,0.06871384382247925,0.04795965552330017,0.345522403717041
34170_0022_A_312	0.027000971138477325,0.27772819995880127,0.014234660193324089,0.039248332381248474,0.02425648644566536,0.03047931008040905
34170_0022_A_315	0.008771584369242191,0.026070527732372284,0.014829497784376144,0.017805583775043488,0.018774569034576416,0.17064769566059113
34170_0022_A_316	0.009073634631931782,0.07648646831512451,0.005957465618848801,0.032470703125,0.015172088518738747,0.057569362223148346
34170_0022_A_319	0.05725400894880295,0.400610089302063,0.046915486454963684,0.021833451464772224,0.06869515031576157,0.02542361430823803
34170_0022_A_322	0.002077830955386162,0.01935936138033867,0.009596054442226887,0.020875010639429092,0.043537039309740067,0.018726760521531105
34170_0022_A_323	0.04454857110977173,0.2536677122116089,0.01061934232711792,0.026928098872303963,0.018621906638145447,0.04747916758060455
34170_0022_A_324	0.06957627087831497,1.1263974905014038,0.007922753691673279,0.013471400365233421,0.010647764429450035,0.046003032475709915
34170_0022_A_327	0.005076885689049959,0.015170281752943993,0.010293158702552319,0.009697351604700089,0.04568065330386162,0.04738682508468628
34170_0022_A_328	0.011838048696517944,0.3001960515975952,0.004403833299875259,0.05716848373413086,0.016807835549116135,0.05139144882559776
34170_0022_A_329	0.0020406038966029882,0.010860813781619072,0.013802231289446354,0.0837225615978241,0.13522064685821533,0.10644156485795975
34170_0022_A_330	0.016275865957140923,0.030103102326393127,0.004031231626868248,0.010718787088990211,0.011306592263281345,0.04388386011123657
34170_0022_A_331	0.0589124858379364,0.340131551027298,0.0069336062297225,0.03206826001405716,0.024388182908296585,0.09893548488616943
